#datatype double,double,dateTime
x,y,timestamp
18.0231521626406,59.33135007135102,2022-12-29 14:30:18.014199
18.022474588696014,59.3314970774865,2022-12-29 15:30:18.014199
18.02175355900528,59.33213155283276,2022-12-29 16:30:18.014199
18.022073675090997,59.332209825137866,2022-12-29 17:30:18.014199
18.02162450717298,59.333139456781446,2022-12-29 18:30:18.014199
18.02172171621258,59.332810157261065,2022-12-29 19:30:18.014199
18.02162525978902,59.333008196438364,2022-12-29 20:30:18.014199
18.02123589042025,59.33266726198434,2022-12-29 21:30:18.014199
18.020482562284236,59.33227037841528,2022-12-29 22:30:18.014199
18.019761949859376,59.33259153396007,2022-12-29 23:30:18.014199
18.02053275683113,59.33209946020011,2022-12-30 00:30:18.014199
18.020025070657763,59.332780551122305,2022-12-30 01:30:18.014199
18.019551667554612,59.332599208195035,2022-12-30 02:30:18.014199
18.020735800753695,59.33194932848407,2022-12-30 03:30:18.014199
18.021027314099292,59.332045273287136,2022-12-30 04:30:18.014199
18.020070164726775,59.33205324965526,2022-12-30 05:30:18.014199
18.020399609894913,59.33206766496268,2022-12-30 06:30:18.014199
18.020872099270456,59.332270581228286,2022-12-30 07:30:18.014199
18.020618184289617,59.33300215256041,2022-12-30 08:30:18.014199
18.019680136810383,59.33301578728023,2022-12-30 09:30:18.014199
18.020014036982577,59.33324741298694,2022-12-30 10:30:18.014199
18.01979522268199,59.33275707810296,2022-12-30 11:30:18.014199
18.01982205659146,59.33240809185036,2022-12-30 12:30:18.014199
18.020359047276678,59.33305761119116,2022-12-30 13:30:18.014199
18.02039766147788,59.33262665076446,2022-12-30 14:30:18.014199
18.020266351270884,59.33260451610486,2022-12-30 15:30:18.014199
18.020750490491533,59.33227552205928,2022-12-30 16:30:18.014199
18.020682879054363,59.33187986690254,2022-12-30 17:30:18.014199
18.021022355551665,59.332228773999425,2022-12-30 18:30:18.014199
18.020482610899723,59.33239019437888,2022-12-30 19:30:18.014199
18.020445613838,59.3316555475009,2022-12-30 20:30:18.014199
18.019939494277637,59.33163541915954,2022-12-30 21:30:18.014199
18.02122355366669,59.33102556832103,2022-12-30 22:30:18.014199
18.021588530743287,59.332426771581076,2022-12-30 23:30:18.014199
18.021027228532102,59.33238168396405,2022-12-31 00:30:18.014199
18.020863969310145,59.33324416743167,2022-12-31 01:30:18.014199
18.020129201044043,59.332778705927716,2022-12-31 02:30:18.014199
18.019624944030777,59.33235703774825,2022-12-31 03:30:18.014199
18.019148841199144,59.33227550838297,2022-12-31 04:30:18.014199
18.019002402985098,59.331953248418166,2022-12-31 05:30:18.014199
